,year,codmpio,H_coca,coca,FARC1,FARC2
559,2002,25175,NA,NA,0,0
560,2002,25178,NA,NA,0,0
561,2002,25181,NA,NA,0,0
562,2002,25183,NA,NA,0,0
563,2002,25200,NA,NA,0,0
564,2002,25214,NA,NA,0,0
565,2002,25224,NA,NA,0,0
566,2002,25245,NA,NA,0,0
567,2002,25258,NA,NA,0,0
568,2002,25258,NA,NA,0,0
569,2002,25258,NA,NA,0,0
570,2002,25260,NA,NA,0,0
571,2002,25269,NA,NA,0,0
572,2002,25279,NA,NA,0,0
573,2002,25281,NA,NA,0,0
574,2002,25286,NA,NA,0,0
575,2002,25288,NA,NA,0,0
576,2002,25290,NA,NA,0,0
577,2002,25293,NA,NA,0,0
578,2002,25295,NA,NA,0,0
579,2002,25297,NA,NA,0,0
580,2002,25299,NA,NA,0,0
581,2002,25307,NA,NA,0,0
582,2002,25312,NA,NA,1,1
583,2002,25312,NA,NA,0,0
584,2002,25312,NA,NA,0,0
585,2002,25317,NA,NA,0,0
586,2002,25320,NA,NA,0,0
587,2002,25322,NA,NA,0,0
588,2002,25324,NA,NA,0,0
589,2002,25326,NA,NA,0,0
590,2002,25328,NA,NA,0,0
591,2002,25335,NA,NA,0,0
592,2002,25339,NA,NA,0,0
593,2002,25368,NA,NA,0,0
594,2002,25372,NA,NA,0,0
595,2002,25377,NA,NA,0,0
596,2002,25386,NA,NA,0,0
597,2002,25394,NA,NA,0,0
598,2002,25398,NA,NA,0,0
599,2002,25402,NA,NA,0,0
600,2002,25402,NA,NA,0,0
601,2002,25407,NA,NA,0,0
602,2002,25426,NA,NA,0,0
603,2002,25430,NA,NA,0,0
604,2002,25436,NA,NA,0,0
605,2002,25438,NA,NA,0,0
606,2002,25473,NA,NA,0,0
607,2002,25473,NA,NA,0,0
608,2002,25483,NA,NA,0,0
609,2002,25483,NA,NA,0,0
610,2002,25483,NA,NA,0,0
611,2002,25486,NA,NA,0,0
612,2002,25488,NA,NA,0,0
613,2002,25489,NA,NA,0,0
614,2002,25491,NA,NA,0,0
615,2002,25506,NA,NA,0,0
616,2002,25506,NA,NA,0,0
617,2002,25513,NA,NA,0,0
618,2002,25518,NA,NA,0,0
619,2002,25524,NA,NA,0,0
620,2002,25530,NA,NA,0,0
621,2002,25535,NA,NA,0,0
622,2002,25572,NA,NA,0,0
623,2002,25580,NA,NA,0,0
624,2002,25592,NA,NA,0,0
625,2002,25594,NA,NA,0,0
626,2002,25596,NA,NA,0,0
627,2002,25599,NA,NA,0,0
628,2002,25612,NA,NA,0,0
629,2002,25612,NA,NA,1,0
630,2002,25645,NA,NA,0,0
631,2002,25649,NA,NA,0,0
632,2002,25649,NA,NA,0,0
633,2002,25653,NA,NA,0,0
634,2002,25653,NA,NA,0,0
635,2002,25658,NA,NA,0,0
636,2002,25658,NA,NA,0,0
637,2002,25658,NA,NA,0,0
638,2002,25662,NA,NA,0,0
639,2002,25718,NA,NA,0,0
640,2002,25736,NA,NA,0,0
641,2002,25740,NA,NA,0,0
642,2002,25743,NA,NA,0,0
643,2002,25745,NA,NA,0,0
644,2002,25754,NA,NA,0,1
645,2002,25758,NA,NA,0,0
646,2002,25769,NA,NA,0,0
647,2002,25772,NA,NA,0,0
648,2002,25777,NA,NA,0,0
649,2002,25779,NA,NA,0,0
650,2002,25781,NA,NA,0,0
651,2002,25785,NA,NA,0,0
652,2002,25793,NA,NA,0,0
653,2002,25797,NA,NA,0,0
654,2002,25799,NA,NA,0,0
655,2002,25805,NA,NA,0,0
656,2002,25807,NA,NA,0,0
657,2002,25815,NA,NA,0,0
658,2002,25817,NA,NA,0,0
659,2002,25823,NA,NA,0,0
660,2002,25839,NA,NA,0,0
661,2002,25841,NA,NA,0,0
662,2002,25843,NA,NA,0,0
663,2002,25845,NA,NA,0,0
664,2002,25851,NA,NA,0,0
665,2002,25862,NA,NA,0,0
666,2002,25867,NA,NA,0,0
667,2002,25871,NA,NA,0,0
668,2002,25873,NA,NA,0,0
669,2002,25875,NA,NA,0,0
670,2002,25878,NA,NA,0,0
671,2002,25885,57,1,0,0
672,2002,25898,NA,NA,0,0
673,2002,25899,NA,NA,0,0
674,2002,27001,NA,NA,1,1
675,2002,27006,NA,NA,0,0
676,2002,27025,NA,NA,0,1
677,2002,27050,NA,NA,0,0
678,2002,27073,NA,NA,0,0
679,2002,27075,NA,NA,0,0
680,2002,27077,NA,NA,0,1
681,2002,27086,NA,NA,NA,NA
682,2002,27099,NA,NA,0,0
683,2002,27135,NA,NA,0,0
684,2002,27150,NA,NA,1,1
685,2002,27160,NA,NA,0,0
686,2002,27205,NA,NA,0,0
687,2002,27245,NA,NA,0,1
688,2002,27250,NA,NA,0,0
689,2002,27361,NA,NA,0,0
690,2002,27372,NA,NA,0,0
691,2002,27413,NA,NA,0,0
692,2002,27425,NA,NA,1,1
693,2002,27430,NA,NA,0,0
694,2002,27450,NA,NA,0,0
695,2002,27491,NA,NA,0,0
696,2002,27495,NA,NA,0,0
697,2002,27580,NA,NA,0,0
698,2002,27600,NA,NA,0,0
699,2002,27615,NA,NA,1,1
700,2002,27660,NA,NA,0,0
701,2002,27745,NA,NA,0,0
702,2002,27787,NA,NA,0,0
703,2002,27800,NA,NA,1,1
704,2002,27810,NA,NA,0,0
705,2002,41001,NA,NA,1,1
706,2002,41006,NA,NA,0,0
707,2002,41013,NA,NA,0,0
708,2002,41016,NA,NA,1,1
709,2002,41020,NA,NA,1,1
710,2002,41026,NA,NA,0,0
711,2002,41078,NA,NA,1,0
712,2002,41132,NA,NA,1,1
713,2002,41206,NA,NA,1,0
714,2002,41244,NA,NA,0,0
715,2002,41298,NA,NA,0,0
716,2002,41306,NA,NA,1,0
717,2002,41319,NA,NA,1,0
718,2002,41319,NA,NA,0,0
719,2002,41319,NA,NA,0,0
720,2002,41349,NA,NA,1,0
721,2002,41357,NA,NA,0,0
722,2002,41359,NA,NA,1,0
723,2002,41378,NA,NA,1,1
724,2002,41396,NA,NA,1,0
725,2002,41483,NA,NA,0,0
726,2002,41503,NA,NA,0,0
727,2002,41518,NA,NA,0,0
728,2002,41524,NA,NA,1,1
729,2002,41530,NA,NA,1,0
730,2002,41530,NA,NA,0,0
731,2002,41548,NA,NA,0,0
732,2002,41551,NA,NA,1,1
733,2002,41615,NA,NA,0,0
734,2002,41660,NA,NA,0,0
735,2002,41668,NA,NA,1,1
736,2002,41676,NA,NA,0,0
737,2002,41676,NA,NA,1,0
738,2002,41770,NA,NA,1,0
739,2002,41791,NA,NA,0,0
740,2002,41797,NA,NA,1,0
741,2002,41799,NA,NA,1,0
742,2002,41801,NA,NA,0,0
743,2002,41807,NA,NA,0,0
744,2002,41872,NA,NA,0,0
745,2002,41885,NA,NA,0,0
746,2002,44001,5,1,0,0
747,2002,44035,NA,NA,0,0
748,2002,44035,NA,NA,0,0
749,2002,44035,NA,NA,0,0
750,2002,44078,NA,NA,0,0
751,2002,44090,349,1,0,0
752,2002,44098,NA,NA,0,0
753,2002,44110,NA,NA,0,0
754,2002,44279,NA,NA,0,0
755,2002,44378,NA,NA,0,0
756,2002,44420,NA,NA,0,0
757,2002,44430,NA,NA,0,0
758,2002,44560,NA,NA,0,0
759,2002,44560,NA,NA,1,0
